declaration,version,purpose,syntax_template
UNTRUSTED,v4.0,Input isolation — user data is data not instruction,"::UNTRUSTED{@SOURCE|risk:level}"
BUDGET,v4.0,Resource awareness — tokens and time and rounds,"::BUDGET{resource:type|limit:value|action_on_exhaust:behavior}"
STATUS,v4.0,Task lifecycle — proposal to verification to commit,"::STATUS{phase:value|confidence:pct|blockers:list|by:authority}"
OBJECTIVE,v4.0,Goal anchor with hash and accept criteria,"::OBJECTIVE{goal:description|success:criteria}"
RUBRIC,v4.0,Evaluation criteria for grading,"::RUBRIC{dimension:name|weight:pct|threshold:value}"
EVIDENCE,v4.0,Evidence chain — no claim without proof,"::EVIDENCE{claim:text|source:ref|method:how|confidence:pct}"
PRIOR,v4.0,One declaration shifts model defaults,"::PRIOR{dimension:name|default:value|authority:level|scope:context}"
FALLBACK,v4.0,Degradation strategy — warn-open or fail-safe,"::FALLBACK{trigger:condition|action:behavior|notify:target}"
GENE,v3.0,Behavioral trait definition,"::GENE{name|conf:level|scope:context}"
STATE,v3.0,Entity state declaration,"::STATE{@ENTITY|key:value}"
